Drug Name,Drug ID
Alka-Seltzer Plus Cold Powerfast Fizz Night,2957-20343
Alka-Seltzer Plus Cold and Cough Powerfast Fizz,2958-20342
Alka-Seltzer Plus Cold and Sinus,78-9925
Alka-Seltzer Plus Severe Cold & Flu Day & Night (Night Formula),54-20587
Alka-Seltzer Plus Severe Cold Powerfast Fizz Day and Night,2957-20445
Alka-Seltzer Wake-Up Call!,248-8565
Alkindi Sprinkle,2379-19548
All Day Allergy-D,570-12693
Allan Tannate Pediatric,631-7067
Allanhist PDX Drops,424-7655
Allegra,1086-622
Allegra Allergy,1086-15069
Allegra ODT,1086-10113
Allegra-D 12 Hour,1087-10378
Allegra-D 12 Hour Allergy & Congestion,1087-16610
Allegra-D 24 Hour,1087-2520
Aller-Chlor,604-1799
Aller-Ease,1086-15706
AllerDur,833-10780
Allerest 12 Hour Nasal Spray,2390-11768
Allerest Maximum Strength,638-7011
Allerest No Drowsiness,82-6919
Allerest PE,631-13654
Allergy Relief,604-13659
Allermax,896-3433
Allersol,1686-4308
Allfen C,507-10953
Allfen CD,719-12914
Allfen CX,507-242
Alli,1756-2541
Allzital,20-17785
Almacone,145-8660
Aloe Grande,2308-6707
Alomide,1479-886
Alora,1019-3905
Aloxi,1783-1148
Alpha-Lipoic-Acid-300,2574-15969
Alphagan P,410-10123
Alphanate,217-11149
Alphanine SD,710-11178
Alprolix,710-16511
Alrex,1490-902
Alsuma,2136-14627
Altabax,2006-2518
Altace,1989-1281
Altachlore,2077-9870
Altaflor,2538-14147
Altafrin,1854-2187
Altamist,2949-13296
Altarussin,1200-4409
Altarussin CF,850-8394
Altavera,1042-14666
Altazine,2174-4324
Altocor,1492-3523
Altoprev,1492-2015
Altreno,2230-18933
Alunbrig,3806-18473
Aluvea,2277-15317
Alvaiz,3014-20642
Alvesco,2791-12481
Alyacen 1/35,1044-15555
Alyacen 7/7/7,1044-15556
Alyglo,1325-20653
Alymsys,377-20024
Alyq,2144-19064
AmBisome,195-86
AmLactin,180-10125
AmLactin Cerapeutic,180-16627
Amaryl,1176-695
Ambien,2333-1544
Ambifed CD,721-12919
Ambifed-G,1213-7873
Ameluz,160-18009
Amerge,1692-1052
Amethia,1042-15384
Amethia Lo,1042-15487
Amethyst,1042-15380
Amevive,114-44
Amicar,157-67
Amikin,153-63
Amitiza,1495-2332
Amjevita,102-18222
Amlactin Ultra,180-16628
Amnesteem,1403-5228
Amondys 45,4243-19702
Amoxil,187-81
Amphadase,1252-1742
Amphojel,140-4726
Ampyra,3188-14349
Amrix,758-2553
Amtagvi,4584-20688
Amturnide,3290-14996
Amvuttra,4371-20069
Amyvid,3388-15669
Amzeeq,1637-19245
Ana-Lex,2510-16963
Anacin,248-17431
Anacin Advanced Headache Formula,14-8535
Anacin Aspirin Free,11-2704
Anacin Max Strength,248-8566
Anafranil,702-355
Anaplex DM,424-7638
Anaprox-DS,1690-2611
Anascorp,3345-15444
Anasept,2085-16186
Anasept Cleanser,2085-16187
Anavip,222-17486
Anbesol,2339-12938
Ancobon,1097-631
Andehist DM NR Syrup,424-7639
Andexxa,3914-18851
AndroGel,2167-4004
Android,1609-981
AneCream,1465-13354
Angeliq,946-2505
Angiomax,396-179
Animi-3 with Vitamin D,1749-15512
Annovera,3949-18926
Anoro Ellipta,3505-16377
Antabuse,917-482
Antara,1071-610
Anti-Dandruff,712-14855
Anti-Itch Steroid Free,485-19264
Antilirium,1866-3646
Antivert,1540-4645
Antizol,1132-10380
Anturol,1768-15511
Anu-Med,2528-11604
Anucort-HC,2378-11907
Anusol-HC,2378-755
Anzemet,926-493
Apadaz,3894-18798
ApexiCon E,880-5357
Apexicon,880-454
Aphedrid,1966-7244
Aphexda,4533-20566
Aphthasol,171-75
Apidra,1345-10929
Aplenzin,440-12618
Apokyn,224-106
Appearex,2926-13162
Apresoline,1253-3126
Apretude,4232-19917
Apri,807-9726
Apriso,2336-13394
Aprodine,1966-7238
Aptensio XR,1606-17302
Aptiom,3499-16370
Aptivus,2203-1452
Aqneursa,4643-20858
Aqua Care,2277-2082
Aqua-Ban,1784-8958
Aquaphilic with Urea,2277-4119
Aquaphor Healing,1833-18988
Aquasol A,2303-3727
Aquatab D,1208-14140
Aquatab DM,846-8259
Aquoral,2534-11995
Arakoda,3928-18923
Aralast NP,131-12649
Aralen Phosphate,593-2644
Aranelle,1044-6741
Aranesp,784-405
Arava,1440-852
Arazlo,2148-19338
Arcalyst,2792-12483
Arcapta,3333-15383
Arctic Relief,485-18015
Aredia,1785-1150
Arestin,1637-10744
Aricept,927-494
Aricept ODT,927-1784
Aridol,2385-14831
Arikayce,3965-18963
Arimidex,206-94
Aristada,233-17551
Aristada Initio,233-18879
Arixtra,1134-666
Armour Thyroid,2189-1435
Arnuity Ellipta,1124-16865
Aromasin,1060-597
Arranon,1699-2334
Artelac Nighttime,1740-20247
Arthricare Cream,1601-9107
Arthriten,14-16407
Arthritis Pain,243-3196
Arthrotec,872-447
Artificial Tears,1740-9385
Artiss,2890-12889
Arzerra,3179-14185
Asacol HD,2336-14000
Asclera,3349-15448
Ascomp with Codeine,247-1739
Ascorbic Acid Quick Melts,238-3839
Ashlyna,1042-17199
Asmanex HFA,1651-16560
Asmanex Twisthaler,1651-2226
Asparlas,3986-19025
Aspercreme Arthritis Pain Relief Gel,871-20559
Aspercreme Pain Relieving Heat Gel,2767-18049
Aspercreme Warming Pain Relief Patch,492-20560
Asperflex Advance,3687-20546
Aspi-Cor,243-18005
Aspir-Low,243-3192
Aspruzyo Sprinkle,1993-19996
Astelin,298-142
Astepro,298-13387
Asthmanefrin,3256-14735
Atacand,487-227
Atacand HCT,488-1975
Atarax,1303-774
Atelvia,2018-14829
Atgam,3254-14667
Ativan,1488-899
Atorvaliq,276-20280
Atrac-Tain,2277-4105
Atralin,2230-5227
Atripla,964-2502
AtroPen,280-3234
Atrovent HFA,1382-815
Atrovent Nasal,2461-11649
Attruby,4656-20932
Aubagio,3417-15869
Aubra,1042-16367
Aubra EQ,1042-18900
Aucatzyl,4652-20916
Augmentin,189-84
Augtyro,4564-20632
Auraphene-B,499-10016
Auro-Dri,3154-14001
Aurophen,11-19424
Aurovela 1.5/30,1044-18551
Aurovela 1/20,1044-18540
Aurovela 24 Fe,1044-18538
Aurovela Fe 1.5/30,1044-18536
Aurovela Fe 1/20,1044-18539
Auryxia,3563-16917
Austedo,3799-18441
Auvelity,4384-20110
Auvi-Q,989-15852
Avage,2148-1762
Avalide,1258-816
Avandamet,1575-1315
Avandaryl,1178-2483
Avandia,2030-1314
Avapro,1383-817
Avar Cleanser,2123-10085
Avar-E,2123-15178
Avastin,377-170
Avedana Hemorrhoidal,2528-20547
Avedana Medicated Chest Rub,3590-19167
Avedana Pain Relieving Roll On,485-19265
Aveed,2167-16394
Avelox,1659-1031
Aviane,1042-6788
Avinza,1656-1785
Avita,2230-1481
Avodart,950-515
Avonex,1360-809
Avonex Prefilled Syringe,1360-10068
Avsola,1336-19330
Avycaz,3606-17201
Avzivi,377-20645
Azactam,303-145
Azasan,296-138
Azasite,301-2557
Azedra,3931-18914
Azelex,297-140
Azilect,1995-2457
Azithromycin Dose Pack,300-3059
Azmacort,2232-1484
Azo Urinary Pain Relief,1835-16017
Azo-Gesic,1835-1185
Azo-Standard,1835-3636
Azolen,1626-16408
Azopt,411-187
Azor,2397-11565
Azstarys,4245-19714
Azulfidine,2130-1388
Azulfidine EN-tabs,2130-2338
Azuphen MB,3594-17761
Azurette,807-13662
BACiiM,305-13478
BAL In Oil,893-5631
BP 10-Wash,2123-13357
BP Allergy JR,631-13136
BPO,354-16673
BPO Foaming Cloths,354-15318
Babee Cof,844-3328
BabyBIG,3103-13638
Bacid (LAC),1424-16650
Backaid Inflammatory Pain Formula,14-15963
Bactine,1465-1758
Bactrim,2128-1386
Bactroban,2387-1033
Bafiertam,4158-19470
Balamine DM,612-16652
Balanced Salt Solution,3681-17768
Balcoltra,1042-18764
Balfaxar,3478-20535
Balnetar,712-9212
Balversa,4007-19104
Balziva,1044-6753
Banophen,896-475
Banzel,3013-13452
Baqsimi,1181-19157
Baraclude,980-1685
Barhemsys,4134-19406
Baridium,1835-3640
Basaglar,1344-17795
Bavencio,3794-18429
Baxdela,3813-18535
Baycol,568-10254
Bayer Aspirin Extra Strength Plus,243-3199
Bayrab,1984-5067
Baza Antifungal,1626-6605
Bebulin,1064-17561
Bebulin VH,1064-11183
Beconase AQ,2959-13385
Belbuca,438-17603
Beleodaq,3543-16587
Belrapzo,2823-19048
Belsomra,3554-16862
Belviq,3401-15754
Benadryl,896-1617
Benadryl Allergy,896-470
Benadryl Allergy Plus Congestion,902-19985
Benadryl Allergy Sinus Headache,82-6921
Benadryl Children's Allergy,896-3439
Bendeka,2823-17786
BeneFix,710-366
Benemid,1941-2642
Bengay Ultra Strength Cream,3687-18056
Bengay Ultra Strength Pain Relieving Patch,2767-18059
Benicar,1745-1114
Benicar HCT,1264-2167
Benlysta,3304-15172
Bensal HP,2037-18920
Bentyl,875-448
BenzEFoam,354-14054
Benzac AC,354-159
Benzac AC Wash,354-15793
Benzac W,354-5237
Benzaclin,355-2399
Benzamycin,356-556
BenzePro,354-16255
Benzedrex,1957-13416
Benziq,354-5277
Benzodent,2339-18958
Beovu,4093-19237
Bepreve,3170-13994
Beqvez,4610-20741
Berinert,2955-14166
Beser,1125-19105
Besivance,3142-13841
Besponsa,3857-18619
Besremi,4309-19885
Beta HC,2378-11948
BetaTan,417-2448
Betadine,2773-11693
Betadine Douche,2773-11699
Betadine Ophthalmic Solution,1922-10338
Betagan,1451-859
Betapace,2102-2276
Betasept,588-1652
Betaseron,1361-810
Bethkis,2206-15913
Betimol,2197-10106
Betoptic S,375-10111
Bevespi Aerosphere,3746-17996
Bevyxxa,3815-18546
Bexsero,3571-16962
Bextra,2283-10757
Bexxar,2894-12895
Beyaz,3265-14825
Beyfortus,4520-20489
BiCNU,528-264
BiDil,1256-2086
Biaxin XL,685-3064
Bicarsim,2065-16189
Bicarsim Forte,2065-16188
Bicillin C-R,3679-17522
Bicillin C-R 900/300,3679-17523
Bicillin L-A,3607-17214
Bidette,87-9022
Bidex-400,1200-4459
Bijuva,3973-18983
Biktarvy,3891-18772
Biltricide,1930-1243
Binosto,116-15630
Bio-Statin,2389-12785
Biofreeze,2767-18066
Bion Tears,1740-9387
BionaFem,1461-19251
Bionect,2084-11043
Biopatch,588-14231
Biotene,1110-16411
Biotene Moisturizing Mouth Spray,2534-14232
Biotene Mouthwash,2534-15348
Biotene Oral Balance,2534-13356
Biothrax,214-10820
Biotussin DAC,721-8140
Bismarex,391-4930
Bismatrol Maximum Strength,391-12144
Bivigam,1325-16021
Bizengri,4658-20937
Black Draught,2054-4839
Blenrep,4177-19522
Bleph-10,2121-2093
Blephamide,1935-1994
Blephamide S.O.P.,1935-1992
Blincyto,3578-16925
Blink Contacts,1740-20248
Blink Gel Tears,1740-20249
Blink Tears,1740-20250
Blink-N-Clean,1740-20251
Blis-To-Sol,2214-5334
Blis-To-Sol Powder,2274-9174
Blisovi 24 Fe,1044-17612
Blisovi Fe 1.5/30,1044-17647
Blisovi Fe 1/20,1044-17648
Bloxiverz,1706-16222
Blue Gel,2767-12062
Bonine,1540-4652
Boniva,1308-1915
Bonjesta,3467-18285
Bontril Slow Release,1838-12430
Boostrix (Tdap),910-12289
Boroleum,1601-9143
Boruzu,402-20849
Bosulif,3416-15866
Botox,3249-14654
Boudreaux Butt Paste,2541-11882
Braftovi,3921-18876
Brenzavvy,4428-20274
Breo Ellipta,3470-16179
Brevibloc,1014-566
Brevital Sodium,1589-965
Brevoxyl Acne Wash Kit,354-5285
Brexafemme,4271-19762
Breyanzi,4239-19693
Breztri Aerosphere,4170-19506
Bridion,3723-17794
Briellyn,1044-15265
Brilinta,3336-15399
Brineura,3803-18470
Brisdelle,1800-16244
Briumvi,4423-20242
Briviact,3728-17935
Brixadi,438-20392
Brodspec,2173-2656
Brohist D,427-16300
BromSite,413-17991
Bromaline,430-7113
Bromaline DM,424-7642
Bromatan Plus,827-10786
Bromday,413-14848
Bromplex DM,424-7646
Broncotron,846-16680
Broncotron Ped,847-16681
Broncotron-D,847-2401
Brotapp,430-16340
Brovana,230-2516
BroveX PSE DM,424-12672
Brukinsa,4101-19272
Bryhali,1228-18995
BuSpar,441-206
Buckley's Mixture Cough Suppressant,844-12115
Buckleys Mixture,844-3370
Buffered Salt,1913-10363
Bumex,433-200
Buminate,108-5728
Bunavail,439-16582
Bupap,20-8604
Buphenyl,2092-1678
Buprenex,438-2033
Butrans,438-14626
Bydureon,1061-15585
Byetta,1061-2198
Byfavo,4165-19495
Bylvay,4281-19787
Bynfezia Pen,1739-19380
Byooviz,1990-19838
Bystolic,2788-12478
Byvalson,3755-18038
C/Rose Hips,238-3826
C1 esterase inhibitor (human),2955-0
CEM-Urea,2277-18082
COVID-19 mRNA (Moderna) vaccine,4637-0
CRM,662-10256
Cabenuva,4233-19681
Cablivi,3994-19068
Cabometyx,3430-17995
Cabtreo,4268-20606
Caduet,173-76
Cafcit,450-214
Cal-Gest,464-3794
Calaclear,3394-19284
Caladryl Clear,3394-15676
Calamine Plain,454-9072
Calcet,2917-13090
Calcet Petites,2917-19781
Calcidol,1003-14704
Calciferol,1003-551
Calcitrate with D,2917-14447
Calcitrene,459-14888
Calcium 600 D,2917-13737
Calcium Disodium Versenate,959-5632
Calcium Oyster Shell,464-3816
Caldecort,2378-11929
Caldolor,1310-13880
Caldyphen Clear,3394-16965
Calgon Vesta,588-5172
Callergy Clear,3394-15884
CaloMist,754-3762
Calphron,462-9176
Calquence,3871-18696
Caltrate 600+D,2917-13099
Caltrate Colon Health,2917-13108
Caltrate Gummy Bites,2917-15547
Cambia,869-13910
Camcevi,1445-19749
Camila,1730-3979
Campath,115-45
Campral,8-1728
Camptosar,1384-818
Camrese,1042-15400
CamreseLo,1042-15534
Camzyos,4360-20045
Canasa,2336-948
Canasa Pac,2336-12376
Cancidas,536-267
Capex,1103-639
Caphosol,2534-11667
Caplyta,4114-19341
Capmist DM,850-14190
Caprelsa,3312-15386
Capron DM,3494-16415
Capron DMT,3494-18734
Capsin,492-5550
Capvaxive,4618-20760
Capzasin Back and Body,492-12584
Capzasin-HP,492-12586
Capzasin-P,492-230
Carac,1114-645
Carafate,2118-1378
Carb-O-Lac HP,182-15608
Carb-O-Lac5,182-15609
Carb-O-Philic/10,2277-14584
Carb-O-Philic/20,2277-14585
Carb-O-Sal5,2040-15885
Carbaglu,3230-14451
Carbatrol,497-1767
Carbocaine,1562-942
Cardene IV,1713-1069
Cardio Omega Benefits,1749-15795
Cardizem,890-461
Cardura,934-499
Cardura XL,934-2552
Carimune NF,1325-11332
Carlson D,646-14708
Carmol,2277-4121
Carmol 10,2277-4115
Carmol 20,2277-2083
CaroSpir,2105-18597
Carvykti,4345-19998
Casgevy,4571-20646
Casodex,380-171
Castellani Paint,2527-16967
Castiva Cooling,1601-9144
Castiva Warming,492-5559
Cataflam,869-444
Catapres,704-358
Catapres-TTS,704-2662
Cathflo Activase,135-1710
Cayston,303-14375
Caziant,807-13700
Cecon,238-115
Cefotan,550-273
Ceftin,559-283
Cefzil,553-276
Celebrex,560-284
Celestone Soluspan,370-164
Celexa,679-335
CellCept,1671-1036
Cellugel,1300-5169
Celontin,1598-972
Cemill 1000,238-3835
Cemill 500,238-3834
Centany,2387-5312
Centany AT Kit,2387-16688
Cepacol Sore Throat From Post Nasal Drip,2767-12030
Cepastat Extra Strength,2527-15641
Cequa,764-18928
CeraVe,969-9627
Cerdelga,3556-16864
Cerebyx,1142-673
Cerezyme,1322-788
Cerovel,2277-4127
Cervarix,1250-14187
Cervidil,895-4048
Cesamet,1673-2442
Cetraxal,3131-13791
Cetrotide,571-287
Chantix,2291-2422
Char-Flo Aqueous Base,574-19867
Charcocaps,574-4976
Charlotte 24 Fe,1044-19422
Chateal,1042-16029
Chateal EQ,1042-18901
Chelated Magnesium,1507-9825
Chemet,2116-1375
Chenodal,3212-14428
Cheracol with Codeine,719-8044
Cheratussin AC,719-8050
Cheratussin DAC,721-8142
Children's Motrin,1310-778
Children's Triacting,50-13663
Children's Triacting Daytime,852-13664
Children's Triacting Night Time,902-13665
Children's Tylenol,11-2695
Chlo-Amine,604-3251
Chlor-Mal,604-3248
Chlor-Trimeton,604-1800
ChlorTan,604-3262
ChlorTan D,631-7084
ChloraPrep One-Step,588-16728
Chloraseptic Sore Throat Spray,2527-12011
Chlorex A,635-7146
Chlorex-A 12,636-1851
Chloromag,1510-9740
Cholbam,3616-17253
Cholestyramine Light,648-3266
Choline Magnesium Trisalicylate,653-11998
Cialis,2144-1395
Cibinqo,4333-19926
Ciclodan,665-16306
Cidaflex,654-14856
Ciloxan,673-330
Cimduo,3897-18805
Cimerli,1990-20103
Cimzia,2828-12619
Cinqair,3736-17967
Cinryze,2955-13347
Cipro,672-332
Cipro HC,675-10397
Cipro I.V.,672-331
Ciprodex,674-329
Citracal + D,2917-13102
Citracal Maximum,2917-13689
Citracal Petites,2917-13120
Citracal Regular,2917-15544
Citrate of Magnesia,1511-1670
Citroma,1511-4813
Citrucel,1602-2036
Citrus Calcium with Vitamin D,2917-13118
Claforan,549-272
Claravis,1403-829
Clarinex,804-413
Clarinex-D 12 Hour,805-11005
Clarinex-D 24 Hour,805-2179
Clariscan,3463-19269
Claritin,1486-898
Claritin Eye,1417-15160
Claritin Reditabs,1486-895
Claritin-D,1487-9765
Claritin-D 12 Hour,1487-894
Claritin-D 24 Hour,1487-1780
Clarus Antifungal,2214-16781
Cleanse & Treat,358-12700
Cleanse & Treat Plus,358-14716
Clear Eyes ACR,1689-9149
Clear Eyes Contact Lens Multi-Action Relief,1740-17426
Clear Eyes Natural Tears Lubricating,1740-17423
Clear Eyes Redness Relief,1686-17420
ClearLax,1893-14236
Clearplex,354-5243
Clearskin,354-1597
Cleocin,690-345
Cleocin Ovules,691-5198
Cleocin T,691-346
Cleocin Vaginal,691-5194
Cleviprex,2909-13012
Climara,1019-575
Climara Pro,1020-2073
Clindacin ETZ,691-17568
Clindacin P,691-15250
Clindagel,691-5199
Clinidine,2773-11712
Clobex,696-351
Clodan,696-16971
Cloderm,697-352
Clolar,698-1604
Clomid,701-353
Clotrimazole-3,707-10491
Clozaril,709-364
CoQ10,2273-12874
Coagadex,3696-17598
Coartem,3129-13752
Cobenfy,4644-20859
Codar AR,605-15712
Codar GF,719-15714
Codeprex,605-10933
Coenzyme Q10,2273-12100
Cogentin,363-163
Colace,2365-487
Colace 2-in-1,924-19582
Colazal,319-147
Colcrys,728-13960
Colestid,731-375
Colestid Flavored,731-4224
Columvi,4501-20453
Coly Mycin M,733-5015
Coly-Mycin S,734-12687
Colyte,3155-13932
Combigan,2790-12480
Combivent,110-813
Combivent Respimat,110-15459
Combivir,1429-847
Combogesic,4137-20302
Combogesic IV,4137-20616
Combunox,1311-781
Cometriq,3430-15968
Comirnaty,4638-20836
Complera,3337-15408
Compound W,2037-5398
Compoz Nighttime Sleep Aid,896-3428
Compro,1946-1257
Comtan,979-534
Comtrex Cold and Flu Maximum Strength Tablet,40-7440
Comtrex Flu Therapy,42-7327
ConZip,2221-15451
Conal,636-7233
Concerta,1606-976
Condylox,1888-1219
Conex,822-16105
Conjupri,4120-19367
Contac Cold,1964-4297
Contac Cold + Flu (Day Formula),78-16131
Contac Cold + Flu (Night Formula),42-16132
Contac Cold + Flu (Night) Cooling Relief Liquid,53-16133
Contrave,3559-16891
Copaxone,1175-694
Cope,248-8561
Copegus,2009-1782
Copiktra,3961-18959
Cordran SP,1119-651
Cordran Tape,1119-653
Coreg,531-266
Coreg CR,531-2532
Corgard,1675-1038
Coricidin HBP Cold & Flu,35-12334
Coricidin HBP Cough & Cold,609-12340
Coricidin HBP Maximum Strength Flu,37-12399
Coricidin HBP Nighttime Multi-Symptom Cold,53-13418
Corifact,3300-15165
Corlanor,3618-17296
Corlopam,1072-10374
Cortane-B,2499-11580
Cortef,2379-766
Cortenema,2379-11690
Cortifoam,2379-11689
Cortisporin Otic,1284-8851
Cortisporin-TC,734-376
Cortizone-10,2378-761
Cortizone-5,2378-11955
Cortrosyn,749-382
Corvert,1313-784
Corzide 40/5,335-6838
Corzide 80/5,335-6839
Cosamin DS,654-10632
Cosela,4241-19696
Cosentyx,3589-16950
Cosmegen,774-401
Cosopt,931-497
Cotellic,3707-17625
Cotempla XR-ODT,1606-18537
Cotrim,2128-3106
Coumadin,2311-1529
Covaryx,1018-6801
Covaryx HS,1018-6802
Coxanto,1763-20614
Cozaar,1489-901
Cr-GTF,662-10255
Creomulsion,844-3377
Creon,1787-14033
Cresemba,3612-17228
Crestor,2031-1316
Crexont,515-20814
Crinone,2414-11736
Critic-Aid Clear AF,1626-12379
CroFab,222-5063
Crotan,753-18902
Cruex Prescription Strength,1626-6594
Cryoserv,894-14733
Cryselle,1046-6768
Crysvita,3907-18835
Cubicin,783-404
Culturelle Digestive Health,1426-14721
Culturelle Health and Wellness,1426-17435
Cuprimine,1814-1170
Curae,1461-20444
Curcumin 95,2682-20175
Curcuplex-95,2682-20035
Cutaquig,2888-19231
Cutivate,1125-660
Cuvitru,2888-18203
Cuvposa,1192-14656
Cuvrior,2240-20046
Cyanokit,1296-5798
Cyclocort,151-61
Cyclogyl,759-389
Cyclomydril,760-387
Cycloset,414-13792
Cyklokapron,2224-1477
Cylate,759-5125
Cyltezo,102-18630
Cymbalta,949-2273
Cyramza,3525-16554
Cyred,807-17515
Cyred EQ,807-18903
Cystadane,369-2499
Cystadrops,3421-19529
Cystagon,766-397
Cystaran,3421-15912
Cystex Urinary Pain Relief,4187-19539
Cyto B7,2926-19345
CytoGam,770-398
Cytomel,1473-877
Cytotec,1641-1016
Cytra-K,681-1226
DDAVP,806-414
DDAVP Rhinal Tube,806-13009
DOK,2365-11810
DaTscan,3297-15045
Dacogen,790-2409
Dakins Full Strength Solution,2085-5587
Daklinza,3644-17485
Daliresp,3303-15170
Dallergy,3357-15521
Dallergy Drops,631-7064
Dalmane,1120-654
Dalvance,3533-16570
Dandrex,2053-6672
Danocrine,778-3278
Danyelza,4205-19609
Danziten,2785-20918
Daptacel (DTaP),3095-13475
Daraprim,1974-2063
Darvocet-N 50,81-8516
Darzalex,3710-17630
Dasetta 1/35,1044-15532
Dasetta 7/7/7,1044-15530
Daurismo,3979-19002
Daxxify,4391-20138
Daybue,4455-20306
Daypro,1763-1127
